"engine","noise","mean_word_error","preprocess_tokens","postprocess_terms","postprocess_tokens","rf_accuracy","svm_accuracy","nb_accuracy","ner_retrieval","ner_f1"
"ground truth","gt",0,83996,3713,28347,0.967965367965368,0.779792405915976,0.123018286823779,1,1
"tesseract","col",2.55310559006211,82206,3944,29053,0.963419913419913,0.75728983978984,0.147588804025875,0.775128564749883,0.732979664014147
"tesseract","bin",2.27,81060,3894,28846,0.963419913419913,0.784113972983538,0.132325646131138,0.771544335359202,0.733644513595614
"tesseract","col + blur",24.7564596273292,78727,4460,27691,0.935714285714286,0.599119455423803,0.124083816260018,0.497272868941873,0.486321725215271
"tesseract","col + weak",10.5724844720497,83080,4313,28826,0.9495670995671,0.557476045693437,0.119974085411156,0.542309490416082,0.504567203131796
"tesseract","col + snp",70.1889751552795,388998,6359,55665,0.614285714285714,0.293016835016835,0.252095139033354,0.204456911329282,0.0674307447191242
"tesseract","col + wm",25.2428881987578,69856,3542,24187,0.871428571428571,0.245748251748252,0.110776456952658,0.688327879071217,0.684434802820175
"tesseract","col + scrib",28.1788198757764,68864,3559,23345,0.875974025974026,0.196543623043623,0.111867366043567,0.644226273959794,0.641079320772273
"tesseract","col + ink",16.0731055900621,73866,3777,25983,0.958874458874459,0.724619105532149,0.11084270954065,0.658095683341125,0.647898128260202
"tesseract","bin + blur",61.8110559006211,65927,3804,20816,0.798484848484848,0.296192104192104,0.109776456952658,0.203989403147888,0.235093390804598
"tesseract","bin + weak",2.88198757763975,80938,3901,28756,0.958658008658009,0.755879953379953,0.149874112157865,0.755025712949977,0.717884130982368
"tesseract","bin + snp",12.8612422360248,90830,4187,28629,0.958658008658009,0.743823911193476,0.146786432484373,0.600124668848372,0.539885041357073
"tesseract","bin + wm",3.20316770186335,81003,3879,28710,0.968181818181818,0.752370528022702,0.156284456199788,0.764531712638305,0.725310467179184
"tesseract","bin + scrib",8.34130434782609,80324,3955,27709,0.963419913419913,0.765740238022847,0.160284456199788,0.705781517843229,0.665100227623174
"tesseract","bin + ink",15.1995341614907,73961,3778,26018,0.959090909090909,0.698847870326131,0.128131247090057,0.659965716066698,0.648197750057396
"tesseract","col + blur + weak",26.4701242236025,78945,4503,27901,0.945238095238095,0.586278759887456,0.124281444718516,0.46984572230014,0.459463578177385
"tesseract","col + blur + snp",93.7677329192547,474298,5105,57813,0.532683982683983,0.292111330698287,0.268085975809088,0.101293439301854,0.0310292151995417
"tesseract","col + blur + wm",63.4471428571429,48631,3239,16478,0.72034632034632,0.189975423127597,0.123017563672026,0.263986286426679,0.314635958395245
"tesseract","col + blur + scrib",56.3243788819876,59300,3827,20353,0.83030303030303,0.214321554451989,0.151196558590151,0.346267726351878,0.37372802960222
