"K","exclus","semcoh","heldout","residual","bound","lbound","em.its","engine","noise","mean_word_error","uniq","highest_heldout_k"
6,9.24526516291185,-72.575824113268,-7.40842724662433,1.5007442484248,-247475.565004083,-247468.985752871,174,"ground truth","gt",0,"ground truth gt",8
7,9.31007151919879,-62.6112607928296,-7.34794986356686,1.46027328205657,-242631.138896794,-242622.613735433,107,"ground truth","gt",0,"ground truth gt",8
8,9.41330515348425,-59.3156512380555,-7.33717592183913,1.52699998653113,-240430.175790228,-240419.571187326,209,"ground truth","gt",0,"ground truth gt",8
9,9.39349863804019,-62.6862445749373,-7.40422821281122,1.44599623783925,-239299.084180757,-239286.282353277,116,"ground truth","gt",0,"ground truth gt",8
10,9.42592639444858,-61.3675666134084,-7.45190727400928,1.43136562201838,-237471.141124188,-237456.036711615,115,"ground truth","gt",0,"ground truth gt",8
11,9.39208684484977,-67.5496950065012,-7.46416778457744,1.42490783903553,-236838.644478644,-236821.142170798,107,"ground truth","gt",0,"ground truth gt",8
12,9.41981281910125,-71.7286158543877,-7.50340109263193,1.44404133327947,-235394.466167309,-235374.478952813,88,"ground truth","gt",0,"ground truth gt",8
13,9.45387125263593,-76.9519729061253,-7.53579575017776,1.47181592352874,-234728.359986499,-234705.807822646,60,"ground truth","gt",0,"ground truth gt",8
14,9.5111894779223,-81.9043354376402,-7.57600636663863,1.49026494316987,-234428.482844554,-234403.291623371,71,"ground truth","gt",0,"ground truth gt",8
15,9.51348415896198,-84.7041271244319,-7.63797985337116,1.49091468886467,-232422.334574031,-232394.435302648,169,"ground truth","gt",0,"ground truth gt",8
16,9.47197587059359,-87.7916279323396,-7.59253950109012,1.52725045510167,-232650.612775732,-232619.940915626,67,"ground truth","gt",0,"ground truth gt",8
17,9.50697509411472,-81.1039106102225,-7.75850015305434,1.53537100361996,-231740.539030544,-231707.033957094,79,"ground truth","gt",0,"ground truth gt",8
18,9.51969689867914,-81.7978051526286,-7.72787817653393,1.5796811162084,-230849.696860306,-230813.301415098,85,"ground truth","gt",0,"ground truth gt",8
19,9.50670977649032,-80.1747879676653,-7.83816370698764,1.6037523545533,-230166.189615596,-230126.849731408,95,"ground truth","gt",0,"ground truth gt",8
20,9.5760597039825,-76.600733568556,-7.77760371950648,1.68268856111995,-228387.017275003,-228344.681658543,146,"ground truth","gt",0,"ground truth gt",8
6,9.24902790919408,-58.488950514217,-7.43455286924414,1.48181257542963,-251065.937027703,-251059.357776491,101,"tesseract","col",2.55310559006211,"tesseract col",6
7,9.28104778294911,-59.3161171960717,-7.48178718740753,1.45425671547716,-248758.952577585,-248750.427416224,116,"tesseract","col",2.55310559006211,"tesseract col",6
8,9.43168381932411,-61.6166423217699,-7.47933145562399,1.44877717663212,-246180.50448541,-246169.899882507,105,"tesseract","col",2.55310559006211,"tesseract col",6
9,9.44638548973158,-62.8922931050757,-7.50740027344606,1.46051499777047,-244542.035051844,-244529.233224364,89,"tesseract","col",2.55310559006211,"tesseract col",6
10,9.43059060059736,-62.4394775675455,-7.58816415366063,1.44773752254016,-242942.466394059,-242927.361981486,82,"tesseract","col",2.55310559006211,"tesseract col",6
11,9.427317105706,-72.606544364136,-7.60698028831662,1.440493770172,-242515.003525825,-242497.501217979,69,"tesseract","col",2.55310559006211,"tesseract col",6
